
Run, Periods, PTag, StartTime, EndTime, EBeam, Colliding, FirstStable, LastStable, LStableDel, LStableRec, LStableRecPercent, LReadyRec, LReadyRecPercent, LPeakStable, PeakMu, AvgMu, PeakMu, AvgMu, X, Y, Z, dX, dY, dZ
267385, B1, B, AllYear, data15_13TeV, 15/06/11 01:10, 15/06/11 16:25, 6500, 37, 231, 910, 0.006, 0.006, 98.1%, 0.006, 97.3%, 0.0, 0.04, 0.03, -0.645, -0.581, -17.9, 0.084, 0.063, 44.8
267367, B1, B, AllYear, data15_13TeV, 15/06/10 19:53, 15/06/11 00:57, 6500, 37, 322, 505, 0.002, 0.002, 94.0%, 0.002, 91.4%, 0.0, 0.039, 0.034, -0.636, -0.585, -17.1, 0.084, 0.064, 47.4
267360, B1, B, AllYear, data15_13TeV, 15/06/10 08:17, 15/06/10 16:11, 6500, 11, 285, 455, 0.001, 0.001, 90.9%, 0.001, 87.8%, 0.0, 0.294, 0.158, -0.644, -0.591, -18.3, 0.087, 0.067, 47.6
267359, B1, B, AllYear, data15_13TeV, 15/06/10 02:51, 15/06/10 08:07, 6500, 37, 169, 307, 0.0, 0.0, 97.4%, 0.0, 94.5%, 0.0, 0.006, 0.006, -0.639, -0.616, -17.6, 0.061, 0.072, 47.4
267358, B1, B, AllYear, data15_13TeV, 15/06/09 22:56, 15/06/10 02:19, 6500, 34, 81, 200, 0.0, 0.0, 91.9%, 0.0, 91.9%, 0.0, 0.003, 0.002, -0.633, -0.612, -19.4, 0.092, 0.091, 48.2
267167, A3, A, AllYear, data15_13TeV, 15/06/07 20:07, 15/06/08 03:32, 6500, 6, 89, 447, 0.372, 0.315, 84.9%, 0.308, 82.8%, 22.0, 26.6, 21.8, -0.679, -0.548, -18.2, 0.012, 0.012, 43.2
267162, A2, A, AllYear, data15_13TeV, 15/06/07 07:24, 15/06/07 16:02, 6500, 8, 641, 1023, 0.315, 0.312, 98.9%, 0.303, 96.0%, 17.0, 15.7, 13.3, -0.754, -0.543, -17.1, 0.013, 0.012, 42.2
267152, A2, A, AllYear, data15_13TeV, 15/06/06 14:05, 15/06/06 18:33, 6500, 8, 0, 287, 0.291, 0.259, 89.1%, 0.179, 61.4%, 24.0, 21.3, 17.5, -0.752, -0.546, -16.6, 0.013, 0.013, 42.7
267148, A2, A, AllYear, data15_13TeV, 15/06/06 11:16, 15/06/06 13:18, 6500, 8, 70, 125, 0.055, 0.031, 55.9%, 0.0, 0.0%, 21.0, 18.5, 15.6, -, -, -, -, -, -
267073, A1, A, AllYear, data15_13TeV, 15/06/04 19:31, 15/06/05 06:59, 6500, 2, 348, 740, 0.105, 0.096, 92.0%, 0.088, 84.2%, 5.0, 18.9, 16.4, -0.689, -0.575, -16.8, 0.013, 0.012, 42.0
266919, A1, A, AllYear, data15_13TeV, 15/06/03 18:56, 15/06/04 01:53, 6500, 2, 99, 375, 0.061, 0.06, 98.7%, 0.057, 92.9%, 4.0, 15.6, 13.4, -0.688, -0.612, -19.8, 0.013, 0.013, 44.2
266904, A1, A, AllYear, data15_13TeV, 15/06/03 09:44, 15/06/03 17:38, 6500, 2, 247, 625, 0.066, 0.062, 94.0%, 0.056, 85.1%, 4.0, 13.1, 11.4, -0.693, -0.614, -18.5, 0.016, 0.015, 42.7
