AA0451;LBC49;47;7.042
AA0467;EBC33;15;6.646
AA0468;EBC62;3;7.05
AA0469;EBC48;17;6.643
AA0470;LBA54;26;6.934
AA0475;LBA49;43;7.168
AA0481;LBA49;30;6.801
AA0482;EBC33;21;7.135
AA0487;LBC49;5;6.907
AA0488;EBC48;10;6.685
AA0492;EBA07;38;6.941
AA0498;EBA07;2;6.791
AA0504;LBC31;28;7.033
AA0507;LBC31;19;7.076
AA0509;LBC41;22;7.119
AA0510;LBC49;35;6.903
AA0513;LBA58;45;7.099
AA0515;LBC49;42;7.235
AA0519;LBA58;22;7.196
AA0520;LBA58;17;7.074
AA0521;LBA55;27;7.018
AA0525;EBC33;17;7.048
AA0529;EBA07;4;7.065
AA0537;LBA58;7;7.092
AA0539;LBC49;8;7.01
AA0558;LBC49;30;7.078
AA0561;LBC49;41;6.976
AA0564;LBC40;31;7.29
AA0567;LBC31;29;7.133
AA0591;LBA00;5;7.093
AA0593;LBA49;37;7.042
AA0635;EBC30;12;6.957
AA0636;LBA31;5;6.973
AA0712;EBC48;6;7.191
AA0734;EBC48;3;7.055
AA0757;LBA49;25;7.45
AA0794;EBC64;24;6.499
AA0798;EBA07;22;6.925
AA0801;EBC48;8;7.203
AA0804;EBA07;30;7.007
AA0805;LBA49;36;7.129
AA0808;EBA50;33;7.156
AA0814;EBC49;44;6.492
AA0816;EBA07;6;7.208
AA0818;EBA07;17;7.225
AA0825;EBC48;4;7.08
AA0826;EBA50;43;7.009
AA0831;LBC49;26;7.22
AA0832;EBC62;33;6.77
AA0839;LBC31;45;6.925
AA0850;EBC47;18;7.094
AA0851;LBA31;29;7.542
AA0852;LBA56;3;7.243
AA0884;LBC49;48;7.199
AA0888;LBC49;28;7.147
AA0889;LBC41;19;7.315
AA0892;LBC55;18;7.073
AA0894;LBA49;42;7.372
AA0900;LBC31;43;7.173
AA0907;LBA58;41;7.166
AA0912;LBC26;8;7.005
AA0917;LBC49;38;7.118
AA0919;LBC49;39;7.011
AA0920;LBC49;14;7.186
AA0922;LBC58;24;7.164
AA0925;LBC58;5;7.26
AA0929;LBC31;4;6.998
AA0939;LBC49;1;6.975
AA0942;LBA57;7;7.106
AA0955;LBA45;47;7.287
AA0958;LBA49;27;7.229
AA0967;LBA17;15;7.256
AA0969;LBC35;30;6.879
AA0974;LBC49;46;7.24
AA0982;LBC17;4;7.104
AA0989;LBA49;40;6.997
AA0990;LBA44;43;7.103
AA0991;LBA56;4;7.261
AA0995;LBC58;20;7.243
AA0996;EBC47;37;6.968
AA0997;LBC58;6;7.404
AA0999;LBA62;26;7.066
AA1003;LBA31;30;6.916
AA1007;LBC09;48;6.981
AA1008;LBC58;2;7.17
AA1010;EBC19;15;7.004
AA1019;LBC49;2;7.185
AA1021;LBC24;4;7.073
AA1023;LBC49;37;7.15
AA1029;EBA07;42;7.174
AA1030;EBC19;17;7.106
AA1033;EBC25;4;6.585
AA1046;LBC49;34;7.158
AA1047;EBC64;9;6.875
AA1049;EBC57;34;7.039
AA1060;LBA54;21;7.182
AA1061;LBA50;28;7.346
AA1069;LBA14;34;7.199
AA1073;EBC48;16;6.969
AA1075;EBC19;4;7.02
AA1079;LBC48;40;7.063
AA1080;LBA56;34;7.162
AA1082;LBC54;12;7.077
AA1085;LBC55;17;6.97
AA1094;LBA13;19;7.34
AA1100;LBC19;8;7.173
AA1103;EBC33;38;7.168
AA1106;EBA07;3;7.105
AA1107;LBC31;39;7.028
AA1111;LBC49;9;7.336
AA1115;LBA49;31;6.895
AA1117;LBA58;15;7.066
AA1119;EBA33;15;6.98
AA1123;LBA44;46;7.189
AA1134;LBA58;18;6.704
AA1135;LBA09;43;7.227
AA1141;LBA56;46;7.179
AA1142;LBA09;40;6.841
AA1149;EBC64;17;6.944
AA1155;EBC64;4;6.953
AA1160;LBC58;4;7.077
AA1162;LBA58;13;6.969
AA1163;EBA07;11;6.944
AA1166;LBC49;29;7.085
AA1172;LBA31;2;7.262
AA1177;EBA07;7;6.873
AA1182;LBC49;3;7.023
AA1184;EBA21;5;6.873
AA1186;LBC48;1;7.194
AA1189;EBC33;12;6.888
AA1200;LBA58;8;6.962
AA1201;LBC49;36;7.095
AA1213;LBA58;30;7.127
AA1219;LBC51;27;7.052
AA1221;EBC48;15;6.83
AA1224;LBC49;25;7.163
AA1227;EBC62;38;6.863
AA1259;LBA00;16;7.1
AA1261;LBC54;47;7.397
AA1262;EBC62;37;7.046
AA1263;LBC58;16;7.09
AA1283;LBA54;42;7.044
AA1290;LBC49;7;6.984
AA1291;EBA07;43;7.03
AA1292;EBA07;23;7.063
AA1293;EBA07;9;7.074
AA1294;LBA33;27;7.137
AA1296;EBA33;11;7.126
AA1298;LBA09;41;7.122
AA1302;LBC58;21;7.174
AA1303;LBA00;2;7.219
AA1304;LBC22;28;7.146
AA1305;LBC24;8;6.863
AA1307;LBA54;29;7.142
AA1308;EBC48;11;7.148
AA1309;EBC62;13;7.036
AA1312;LBC31;36;7.096
AA1316;LBC58;10;7.06
AA1318;LBC31;3;6.782
AA1319;LBA00;18;7.104
AA1320;LBC33;40;6.963
AA1322;LBA00;12;6.944
AA1326;LBC15;15;7.132
AA1327;LBC31;46;7.038
AA1352;LBA47;6;7.238
AA1353;EBA33;5;6.872
AA1354;LBC34;17;7.117
AA1359;EBC30;18;6.931
AA1361;EBC33;2;7.219
AA1367;EBA07;8;6.687
AA1368;LBC58;9;7.111
AA1384;LBC43;29;7.15
AA1387;LBA00;6;7.054
AA1388;EBA07;1;7.098
AA1389;EBC48;22;7.008
AA1391;EBC48;21;7.002
AA1392;LBA33;16;7.307
AA1393;LBA00;1;7.1
AA1395;EBA49;34;6.946
AA1396;LBA00;22;6.9
AA1399;EBA07;34;7.021
AA1406;EBA07;15;6.976
AA1408;LBA01;24;7.163
AA1414;EBA07;41;7.02
AA1416;EBA07;14;7.125
AA1430;EBC52;29;6.971
AA1434;LBC58;19;7.098
AA1444;LBC49;31;6.799
AA1445;LBC58;11;7.248
AA1460;EBC48;7;6.862
AA1461;LBC54;23;7.093
AA1462;EBA07;33;6.989
AA1464;EBA07;21;7.105
AA1466;EBA07;10;7.016
AA0620;EBC64;30;6.78
AA0627;EBC64;2;7.005
AA0630;EBC33;8;7.158
AA0638;LBC49;13;6.827
AA0641;EBC64;1;7.04
AA0644;EBC64;11;7.19
AA0645;EBA07;24;7.057
AA0646;EBC64;18;7.053
AA0647;EBA07;12;7.019
AA0648;EBC64;15;6.903
AA0649;EBC64;41;6.957
AA0658;LBC32;43;7.185
AA0664;LBC49;11;7.181
AA0667;EBC36;4;7.149
AA0670;EBC64;13;7.15
AA0672;LBA49;29;7.202
AA0673;EBC64;10;7.122
AA0674;LBC41;20;7.086
AA0675;EBC64;34;7.119
AA0676;EBC64;3;7.108
AA0682;EBC62;4;7.181
AA0694;LBC49;18;7.239
AA0696;EBC64;33;7.165
AA0703;LBA58;3;7.284
AA0705;EBC64;21;7.224
AA0710;LBC49;19;7.02
AA0720;LBC49;40;6.811
AA0723;EBC64;38;7.229
AA0735;LBC11;14;7.073
AA0737;LBC41;34;7.16
AA0740;LBA49;9;7.078
AA0741;EBC44;37;7.17
AA0742;LBA49;24;7.353
AA0743;LBA49;19;7.066
AA0744;LBC49;10;7.056
AA0745;LBA58;1;6.737
AA0746;LBA41;15;7.328
AA0750;LBA01;20;7.31
AA0752;EBC64;44;7.079
AA0756;LBA16;25;7.503
AA0763;LBC19;29;6.781
AA0776;EBC49;33;6.716
AA0781;EBC64;8;6.725
AA0782;LBA49;48;6.46
AA0783;EBC64;42;6.659
AA0786;EBA34;10;6.564
AA0789;EBC33;43;5.883
AA0795;EBA07;5;6.636
AA0835;EBA07;37;6.973
AA0849;EBC33;5;7.088
AA0856;LBA49;38;7.004
AA0867;EBC64;12;7.12
AA0868;EBA07;16;7.129
AA0874;LBC49;6;7.169
AA0878;LBC58;3;7.04
AA0879;LBC01;11;7.183
AA0885;LBC49;24;6.9
AA0886;EBC35;12;7.082
AA0887;LBC49;16;7.181
AA0897;LBA49;26;7.364
AA0941;LBC55;40;7.099
AA0943;EBC64;16;6.923
AA0944;EBC64;37;7.251
AA0952;LBC58;48;7.161
AA0971;LBC49;43;7.564
AA0972;LBA58;14;7.379
AA1004;LBA58;29;7.228
AA1017;EBC49;17;7.052
AA1032;EBC49;18;7.156
AA1036;LBC49;4;7.134
AA1054;EBC64;6;7.014
AA1059;EBC33;13;7.033
AA1063;LBA49;39;7.122
AA1064;LBC49;17;7.182
AA1070;LBA09;25;7.331
AA1071;EBC64;7;6.941
AA1124;LBC49;22;7.1
AA1209;LBA44;42;7.242
AA1211;EBC64;43;7.05
AA1217;LBC49;15;7.245
AA1385;EBC64;29;6.914
AA1410;LBC58;41;7.123
AA1413;EBC33;14;7.212
AA1435;EBC64;23;7.118
AA1441;LBC55;12;7.02
AA1446;LBC49;45;7.086
AA1447;LBC49;21;7.238
AA1449;LBC49;20;7.236
AA1450;LBA25;14;7.11
AA1451;LBC47;26;7.069
AA1452;LBC49;27;7.269
AA1453;LBC49;12;7.193
AA1454;EBC33;6;7.061
AA1455;LBA58;46;7.115
AA1456;LBA58;12;7.244
AA1457;LBC09;8;7.203
AA1458;LBA41;13;7.283
AA1472;LBC58;15;6.999
AA1473;LBC58;12;7.255
AA1484;LBC58;45;7.328
AA1490;EBC33;3;7.345
AA1491;LBC00;11;7.479
AA1493;EBC33;22;7.127
AA1494;LBC33;20;7.25
AA1499;EBC49;12;7.123
AA1500;LBC31;38;7.309
AA1502;LBC31;9;7.066
AA1504;LBA09;4;7.278
AA1510;LBC09;7;7.07
AA1511;LBA49;18;6.937
AA1519;LBC40;18;6.952
AA1520;LBC40;45;7.298
AA1521;LBA01;21;7.307
AA1522;LBA19;43;7.188
AA1524;LBC58;14;7.119
AA1532;EBC33;18;6.849
AA1533;EBC33;16;6.87
AA1534;LBA03;19;7.095
AA1536;LBA25;1;7.187
AA1537;EBC62;34;7.124
AA1538;LBC58;1;6.918
AA1539;LBC47;15;7.193
AA1544;EBC33;30;7.021
AA1545;LBA12;14;7.211
AA1547;LBC58;13;7.066
AA1548;LBC44;15;6.975
AA1550;LBC47;1;7.18
AA1551;LBA53;40;6.875
AA1552;LBC01;9;7.25
AA1554;LBA58;35;7.173
AA1555;LBC25;26;7.183
AA1561;EBC49;24;7.168
AA1562;EBC33;37;7.031
AA1581;LBC40;23;7.065
AA1583;EBC33;44;6.82
AA1641;EBC33;42;7.009
AA1653;LBC09;3;7.062
AA1655;LBC25;14;7.006
AA1656;LBA25;26;7.192
AA1661;LBC25;27;7.041
AA1665;LBA58;4;6.701
AA1680;LBA58;42;6.716
AA1684;EBC33;10;6.896
AA1685;LBC09;14;7.088
AA1686;LBC58;8;6.9
AA1687;LBA36;47;7.16
AA1702;EBC33;41;7.186
AA1717;LBC40;14;7.01
AA1719;EBC33;11;6.792
AA1728;LBA49;14;7.01
AA1739;EBC33;7;6.97
AA1740;LBA09;13;7.151
AA1742;LBA58;27;7.173
AA1755;LBC47;40;7.132
AA1762;EBC49;11;7.088
AA1768;EBC49;7;7.073
AA1769;EBC49;5;7.132
AA1774;LBC51;15;7.099
AA1783;EBC49;23;7.009
AA1787;EBC49;30;7.092
AA1788;LBA58;43;6.995
AA1808;EBC49;37;6.768
AA1809;EBC49;42;7.001
AA1811;LBA41;20;7.203
AA1815;LBC57;26;6.945
AA1817;EBA07;44;7.007
AA1818;EBC49;34;7.017
AA1819;EBC49;43;6.991
AA1821;EBC49;22;7.07
AA1824;LBA49;11;7.348
AA1826;LBA49;13;6.922
AA1827;EBA07;18;6.983
AA1828;LBA25;43;7.221
AA1829;LBA58;26;7.026
AA1833;EBC33;33;7.09
AA1836;EBC33;9;6.914
AA1839;EBC33;34;7.146
AA1841;LBA01;19;7.219
AA1843;LBA49;3;7.188
AA1846;LBC41;9;7.343
AA1848;LBA41;16;7.138
AA1849;EBC49;16;7.112
AA1851;LBA41;10;7.169
AA1852;EBC62;6;6.734
AA1853;EBC33;24;7.18
AA1854;LBC57;14;7.12
AA1855;EBC33;4;6.785
AA1859;LBC24;12;6.823
AA1861;LBA49;22;7.291
AA1863;LBA49;6;7.202
AA1864;EBC49;15;7.072
AA1865;LBC41;11;7.316
AA1870;LBA49;5;6.857
AA1883;LBA49;41;7.132
AA1889;LBA46;14;7.133
AA1893;LBA47;47;7.298
AA1894;LBA49;8;7.23
AA1895;LBA49;23;7.323
AA1899;LBC54;7;7.231
AA1900;LBA49;7;7.336
AA1902;LBA49;2;7.249
AA1903;LBA49;21;7.42
AA1904;LBA49;20;7.223
AA1919;LBA19;26;7.259
AA1923;LBA49;4;7.146
AA1926;LBC56;8;7.263
AA1928;LBA49;1;7.219
AA1931;EBC49;29;7.169
AA1936;EBC49;6;6.922
AA1937;EBC49;1;7.145
AA1939;EBC49;4;7.041
AA1943;LBA58;36;7.237
AA1945;LBC56;20;7.286
AA1947;LBA49;10;7.204
AA1949;LBA41;28;7.23
AA1950;EBC49;9;7.057
AA1951;LBA49;15;7.334
AA1952;EBC49;13;7.21
AA1953;EBC49;3;7.15
AA1956;EBC49;10;7.255
AA1957;EBC33;29;7.133
AA1958;LBA49;16;7.284
AA1959;EBC49;14;7.154
AA1960;EBC49;38;7.18
AA1961;EBC49;8;7.109
AA1965;LBA49;12;7.456
AA1967;LBA49;47;7.44
AA1970;LBA49;17;7.133
AA1977;EBC49;41;7.03
AA1978;EBA07;29;7.111
AA1992;EBC49;21;7.028
AA1994;EBC49;2;7.062
AA0869;EBC52;2;7.02
AA1513;EBA48;14;6.99
AA1528;EBA47;30;6.93
AA1575;LBC01;25;6.94
AA1673;LBA31;37;6.94
AA1696;LBC25;43;7
AA1703;LBA58;6;6.98
AA1707;LBC31;5;7.01
AA1725;EBC25;37;6.99
AA1738;LBA31;23;6.97
AA1741;LBA01;12;6.94
AA1746;EBA47;34;6.76
AA1753;EBA10;5;6.83
AA1754;LBA33;46;6.95
AA1756;EBA47;23;7
AA1757;EBA48;13;6.93
AA1759;EBA47;29;6.99
AA1760;EBA47;9;6.94
AA1765;LBA31;16;6.96
AA1766;LBA31;34;6.94
AA1767;EBA10;12;6.93
AA1772;LBA40;48;7.01
AA1790;LBA31;45;7.01
AA1814;EBA33;6;6.95
AA1825;LBA57;19;7.01
AA1856;EBA42;42;6.76
AA1869;LBC55;22;6.96
AA1929;EBC25;18;7
AA1940;EBA47;21;7.01
AA1946;EBA47;14;6.94
AA1948;LBA09;23;6.96
AA1955;LBC43;26;7.03
AA1976;LBC17;8;7.01
AA1979;EBA10;24;6.78
AA1983;LBC33;29;7
AA1986;LBC00;25;6.93
AA1988;LBA58;2;7
AA1990;EBA47;16;6.94
AA1995;EBC30;9;6.93
AA1997;LBA31;12;6.86
AA1999;EBA42;29;7
AA2001;EBC30;37;6.93
AA2002;LBC22;22;6.94
AA2004;EBA10;18;6.83
AA2005;EBC53;37;6.93
AA2007;LBA58;16;7
AA2009;LBC58;40;6.99
AA2011;EBA10;8;6.92
AA2013;LBA15;19;6.94
AA2014;EBA10;6;6.94
AA2015;LBC00;16;6.9
AA2016;EBC19;16;6.82
AA2017;EBC45;42;6.85
AA2018;EBA10;9;6.84
AA2019;EBA47;24;6.8
AA2021;EBA10;4;6.99
AA2022;LBC43;23;6.99
AA2023;EBA10;10;6.94
AA2024;LBC33;27;6.76
AA2025;LBA31;24;7.01
AA2026;LBA31;28;6.96
AA2028;EBA10;23;6.93
AA2030;EBA10;21;6.92
AA2035;EBC30;1;6.94
AA2037;EBA47;43;6.87
AA2038;LBC43;25;7
AA2039;EBA50;6;6.92
AA2040;LBA31;36;6.87
AA2042;EBC30;6;6.88
AA2046;LBA31;3;6.87
AA2048;EBC47;3;6.93
AA2052;EBA39;13;6.95
AA2057;EBC30;29;6.6
AA2058;LBA47;19;7.02
AA2068;LBC00;21;7.01
AA2069;LBA58;5;6.99
AA2073;LBA33;41;7.01
AA2076;EBA33;16;7
AA2083;LBA40;9;6.94
AA2113;LBA25;31;7.01
AA2116;EBA58;14;7
AA2117;EBA47;37;6.78
AA2120;LBC43;38;6.94
AA2121;LBA37;7;7.01
AA2122;LBA58;24;6.89
AA2124;LBA47;10;7
AA2126;LBC53;25;6.95
AA2128;EBC29;16;6.93
AA2129;EBC35;11;6.81
AA2134;LBA27;47;7
AA2135;EBA10;13;6.81
AA2140;EBA33;10;6.76
AA2141;LBA00;8;6.94
AA2142;EBA47;3;6.86
AA2143;EBC30;42;6.94
AA2146;EBC30;2;6.85
AA2151;LBA31;41;6.95
AA2153;LBC50;14;6.91
AA2154;LBC27;48;0
AA2155;LBC33;14;6.89
AA2156;EBA33;9;6.93
AA2157;EBA50;23;6.87
AA2159;LBC00;39;7.01
AA2165;EBA44;38;6.93
AA2166;LBA33;20;7.03
AA2168;EBC19;3;6.81
AA2170;EBA44;43;6.87
AA2171;EBA47;13;6.94
AA2172;EBA47;33;6.89
AA2173;EBC41;17;6.93
AA2174;EBC25;38;6.82
AA2176;LBA31;1;7.01
AA2178;EBA10;2;7.01
AA2179;LBA54;18;7.01
AA2182;LBC00;47;6.94
AA2183;LBA25;39;7
AA2184;LBA17;2;6.94
AA2185;LBA33;21;6.94
AA2187;LBA17;10;7.01
AA2189;LBA58;19;7
AA2191;LBA31;42;7.01
AA2192;LBA56;5;7.02
AA2193;LBA50;47;7
AA2194;LBA31;18;7.01
AA2197;LBC25;5;6.98
AA2198;LBA31;19;6.98
AA2200;LBC33;42;7.01
AA2217;LBC00;48;6.96
AA2218;EBA33;4;6.82
AA2221;LBA25;27;6.94
AA2222;LBC54;4;6.94
AA2223;LBC00;20;6.99
AA2224;LBA31;40;6.96
AA2225;LBA31;14;7
AA2228;LBA33;36;6.94
AA2230;LBC31;8;6.95
AA2231;LBC00;10;6.96
AA2233;EBA13;14;6.94
AA2239;LBA33;24;6.94
AA2248;LBA58;10;6.94
AA2249;LBA17;31;7.01
AA2250;LBA58;11;6.94
AA2251;LBC00;19;7.01
AA2285;LBC00;24;7.01
AA2290;LBC00;38;6.94
AA2292;LBC00;5;7.03
AA2304;LBC33;30;6.77
AA2305;LBC00;37;6.94
AA2309;LBC40;21;6.94
AA2313;LBA33;30;6.94
AA2314;EBC30;8;6.93
AA2317;LBA54;11;7.03
AA2318;LBA33;8;6.95
AA2320;LBC31;47;6.95
AA2322;LBA58;38;6.97
AA2325;LBA50;17;6.95
AA2326;LBC25;34;7
AA2327;LBC53;2;6.95
AA2330;LBA00;3;6.97
AA2334;LBC43;2;6.96
AA2335;LBA00;15;7.01
AA2341;LBA58;37;7
AA2346;EBC25;10;6.94
AA2347;LBA02;26;6.94
AA2349;EBA47;2;6.89
AA2353;EBA43;12;6.78
AA2357;EBC30;3;6.92
AA2361;LBA31;10;6.93
AA2362;EBA33;1;6.84
AA2363;EBC30;30;6.74
AA2367;EBA47;42;6.73
AA2369;EBA10;11;6.86
AA2370;LBA43;13;6.92
AA2376;LBA58;21;6.87
AA2385;LBA00;17;6.77
AA2386;LBA31;6;6.94
AA2391;LBC58;43;6.9
AA2397;LBC33;8;6.94
AA2408;LBA43;24;7.01
AA2409;LBA00;7;6.8
AA2410;EBC25;15;6.97
AA2411;LBA43;9;7
AA2412;LBC55;3;6.94
AA2413;LBC00;31;7.01
AA2414;LBC00;34;6.94
AA2415;EBA47;44;6.93
AA2421;LBA58;9;7.02
AA2422;LBA33;1;7.01
AA2423;LBC54;8;7.01
AA2427;EBA47;5;6.89
AA2434;EBC42;14;6.86
AA2437;EBA43;42;6.92
AA2441;LBC43;39;7
AA2442;LBA44;45;6.89
AA2443;EBC30;41;6.83
AA2445;LBA18;4;6.75
AA2446;LBC33;45;6.94
AA2450;EBC25;9;6.93
AA2454;LBA09;30;7
AA2458;LBC01;7;6.79
AA2459;LBC19;4;6.93
AA2460;LBC33;46;6.78
AA2461;EBA04;43;6.79
AA2462;EBA10;7;6.75
AA2466;EBA10;14;6.81
AA2468;LBA58;28;6.99
AA2469;EBA42;5;6.88
AA2474;EBC57;8;6.88
AA2475;LBA31;9;6.94
AA2476;LBA43;23;7.01
