AA0006;LBC21;28;7.111;639
AA0010;LBA53;35;6.864;674
AA0029;EBC13;14;7.078;696
AA0058;LBA12;13;6.795;681
AA0063;EBC17;23;6.47;706
AA0066;LBC42;16;7.093;629
AA0070;EBC52;6;6.563;696
AA0075;EBA34;8;6.436;725
AA0078;LBC42;15;6.806;682
AA0079;EBC38;37;6.685;728
AA0087;EBC16;43;6.667;705
AA0097;LBC11;8;6.658;686
AA0126;LBA55;21;6.704;658
AA0142;LBC42;39;6.687;666
AA0144;LBA56;3;-1;-1
AA0155;EBA51;2;-1;-1
AA0159;LBC56;17;6.705;684
AA0169;LBA57;2;-1,-1
AA0166;;;6.647;683
AA0169;EBA53;2;-1,-1
AA0178;EBC36;3;6.627;720
AA0187;LBC02;21;6.702;668
AA0189;LBA16;40;6.93;646
AA0193;LBA35;4;-1;-1
AA0202;EBA51;23;-1;-1
AA0207;EBA51;9;-1;-1
AA0209;EBA51;11;-1;-1
AA0222;;;6.528;698
AA0309;EBA46;6;6.664;700
AA0317;EBC41;23;6.674;721
AA0319;EBC45;33;6.674;717
AA0324;EBA34;33;6.575;729
AA0413;EBC53;6;6.818;699
AA0415;EBC52;10;6.624;734
AA0420;EBA44;4;6.414;708
AA0427;LBC41;18;7.033;691
AA0430;EBC47;24;6.554;703
AA0449;EBA15;12;6.602;707
AA0451;LBC49;47;7.042;677.396
AA0452;LBC11;21;7.224;638
AA0467;EBC33;15;6.646;709.281
AA0468;EBC62;3;7.05;701.742
AA0469;EBC48;17;6.643;754
AA0470;LBA54;26;6.934;672.166
AA0475;LBA49;43;7.168;685.145
AA0481;LBA49;30;6.801;692.368
AA0482;EBC33;21;7.135;716.111
AA0487;LBC49;5;6.907;679.716
AA0488;EBC48;10;6.685;750.777
AA0492;EBA07;38;6.941;745.347
AA0493;EBA42;10;6.963;738
AA0494;EBC44;22;7.112;719
AA0495;LBA01;3;7.052;679
AA0498;EBA07;2;6.791;696.665
AA0504;LBC31;28;7.033;657.355
AA0507;LBC31;19;7.076;659.022
AA0509;LBC41;22;7.119;685
AA0510;LBC49;35;6.903;681.034
AA0512;EBC35;41;7.107;716
AA0513;LBA58;45;7.099;673.83
AA0514;;;0;731
AA0515;LBC49;42;7.235;658.899
AA0517;;;0;705
AA0518;;;0;682
AA0519;LBA58;22;7.196;640.293
AA0520;LBA58;17;7.074;662
AA0521;LBA55;27;7.018;685.108
AA0524;;;7.218;674.022
AA0525;EBC33;17;7.048;703.199
AA0529;EBA07;4;7.065;703.961
AA0533;EBA03;14;6.942;697
AA0534;LBA11;48;7.284;640
AA0535;EBA41;37;6.949;714
AA0537;LBA58;7;7.092;647
AA0538;LBC25;10;7.3;670
AA0539;LBC49;8;7.01;636.173
AA0542;LBC60;4;7.238;675
AA0546;LBA16;1;6.909;683
AA0547;;;6.991;689.607
AA0549;LBC11;37;7.467;618
AA0551;;;6.866;740.032
AA0557;LBC16;17;6.648;678
AA0558;LBC49;30;7.078;614.058
AA0561;LBC49;41;6.976;633.091
AA0564;LBC40;31;7.29;636.054
AA0566;EBC35;23;6.973;710
AA0567;LBC31;29;7.133;650.282
AA0576;;;6.778;658
AA0578;;;6.916;690
AA0580;EBA38;16;6.74;719.6
AA0581;LBC47;21;7.363;635
AA0582;LBA63;48;7.17;626
AA0586;;;6.948;642.133
AA0587;EBC14;44;7.062;716
AA0588;;;7.069;681
AA0591;LBA00;5;7.093;635.753
AA0593;LBA49;37;7.042;677.728
AA0606;LBC16;43;7.196;685
AA0609;LBA56;35;7.287;669
AA0610;LBA42;6;7.297;642
AA0611;LBA35;5;7.223;634
AA0613;;;7.188;644
AA0614;LBA16;45;6.987;673
AA0615;;;6.96;638
AA0617;;;6.854;692
AA0619;;;6.872;747
AA0620;EBC64;30;6.78;727
AA0621;EBA60;16;7.129;711
AA0622;EBC27;42;7.033;722
AA0623;EBA38;18;6.856;730
AA0625;EBA55;14;7.19;695
AA0627;EBC64;2;7.005;695
AA0628;EBA27;5;6.762;698
AA0630;EBC33;8;7.158;726
AA0631;LBC28;10;7.085;649
AA0632;LBA29;30;7.165;664
AA0633;LBA48;4;6.815;683
AA0635;EBC30;12;6.957;698.289
AA0636;LBA31;5;6.973;653.958
AA0638;LBC49;13;6.827;673
AA0641;EBC64;1;7.04;696
AA0643;LBA34;18;6.84;678
AA0644;EBC64;11;7.19;703
AA0645;EBA07;24;7.057;710
