9.850 
9.510 
9.610 
9.790 
9.510 
9.820 
9.780 
9.800 
9.740 
9.880 
9.610 
9.460 
9.750 
9.640 
9.710 
9.820 
10.000 
9.230 
10.000 
9.730 
9.820 
9.640 
9.710 
9.660 
9.790 
9.570 
9.780 
9.880 
10.040 
9.770 
9.730 
9.700 
9.740 
9.640 
9.650 
9.710 
9.570 
10.000 
9.910 
9.780 
10.100 
9.640 
9.790 
9.660 
9.760 
9.730 
9.670 
9.580 
9.830 
9.790 
9.750 
9.650 
9.880 
9.730 
9.750 
9.780 
9.790 
9.600 
9.610 
9.670 
10.010 
9.740 
9.800 
9.540 
2019.11.07 14:13:29.949, LVPS_13, Reading= 9.8862110760937, Threshold= 9.75
2019.11.07 14:13:35.023, LVPS_13, Reading= 9.8881110998437, Threshold= 9.75
2019.11.07 14:13:40.102, LVPS_13, Reading= 9.8881110998437, Threshold= 9.75
2019.11.07 14:13:45.141, LVPS_13, Reading= 9.8919236475, Threshold= 9.75
2019.11.07 14:13:50.192, LVPS_13, Reading= 9.8919236475, Threshold= 9.75
2019.11.07 14:13:55.225, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:14:00.257, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:14:05.289, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:14:10.321, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:14:15.354, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:14:20.386, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:14:25.435, LVPS_13, Reading= 9.89002362375, Threshold= 9.75
2019.11.07 14:14:30.469, LVPS_13, Reading= 9.89002362375, Threshold= 9.75
2019.11.07 14:14:35.504, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:14:40.538, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:14:45.574, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:14:50.615, LVPS_13, Reading= 9.8957486953125, Threshold= 9.75
2019.11.07 14:14:55.650, LVPS_13, Reading= 9.89002362375, Threshold= 9.75
2019.11.07 14:15:00.685, LVPS_13, Reading= 9.89002362375, Threshold= 9.75
2019.11.07 14:15:05.720, LVPS_13, Reading= 9.8881110998437, Threshold= 9.75
2019.11.07 14:15:10.755, LVPS_13, Reading= 9.8881110998437, Threshold= 9.75
2019.11.07 14:15:15.790, LVPS_13, Reading= 9.8881110998437, Threshold= 9.75
