Time,Temperature(C),Humidity(%),Dewpoint(C),HeatIndex(C)
2023/01/01 00:44,24.2,39,9.4,24.2
2023/01/01 01:44,24.2,39,9.4,24.2
2023/01/01 02:44,24.0,39,9.2,24.0
2023/01/01 03:44,23.7,39,9.0,23.7
2023/01/01 04:44,23.9,39,9.1,23.9
2023/01/01 05:44,23.8,39,9.0,23.8
2023/01/01 06:44,23.8,39,9.0,23.8
2023/01/01 07:44,23.7,39,9.0,23.7
2023/01/01 08:44,23.6,39,8.9,23.6
2023/01/01 09:44,23.8,38,8.7,23.8
2023/01/01 10:44,24.2,38,9.0,24.2
2023/01/01 11:44,24.7,37,9.1,24.7
2023/01/01 12:44,25.0,36,8.9,25.0
2023/01/01 13:44,25.2,36,9.1,25.2
2023/01/01 14:44,25.5,35,8.9,25.5
2023/01/01 15:44,25.6,35,9.0,25.6
2023/01/01 16:44,25.5,36,9.4,25.5
2023/01/01 17:44,25.3,36,9.2,25.3
2023/01/01 18:44,25.2,37,9.5,25.2
2023/01/01 19:44,25.1,37,9.4,25.1
2023/01/01 20:44,24.9,37,9.2,24.9
2023/01/01 21:44,24.7,36,8.7,24.7
2023/01/01 22:44,24.7,36,8.7,24.7
2023/01/01 23:44,24.7,35,8.2,24.7
2023/01/02 00:44,24.7,34,7.8,24.7
2023/01/02 01:44,24.6,34,7.7,24.6
2023/01/02 02:44,24.5,33,7.2,24.5
2023/01/02 03:44,24.4,32,6.7,24.4
2023/01/02 04:44,24.3,31,6.1,24.3
2023/01/02 05:44,24.3,30,5.6,24.3
2023/01/02 06:44,24.3,30,5.6,24.3
2023/01/02 07:44,24.3,30,5.6,24.3
2023/01/02 08:44,24.3,30,5.6,24.3
2023/01/02 09:44,24.3,30,5.6,24.3
2023/01/02 10:44,24.6,30,5.9,24.6
2023/01/02 11:44,24.8,29,5.6,24.8
2023/01/02 12:44,24.9,29,5.7,24.9
2023/01/02 13:44,25.2,30,6.4,25.2
2023/01/02 14:44,25.2,29,5.9,25.2
2023/01/02 15:44,25.1,30,6.3,25.1
2023/01/02 16:44,25.0,30,6.3,25.0
2023/01/02 17:44,24.7,32,6.9,24.7
2023/01/02 18:44,24.7,33,7.4,24.7
2023/01/02 19:44,24.5,34,7.6,24.5
2023/01/02 20:44,24.4,35,8.0,24.4
2023/01/02 21:44,24.3,36,8.3,24.3
2023/01/02 22:44,24.2,37,8.6,24.2
2023/01/02 23:44,24.1,38,8.9,24.1
2023/01/03 00:44,24.0,38,8.8,24.0
2023/01/03 01:44,23.9,39,9.1,23.9
2023/01/03 02:44,23.9,39,9.1,23.9
2023/01/03 03:44,23.7,39,9.0,23.7
2023/01/03 04:44,23.6,39,8.9,23.6
2023/01/03 05:44,23.4,39,8.7,23.4
2023/01/03 06:44,23.3,39,8.6,23.3
2023/01/03 07:44,23.2,39,8.5,23.2
2023/01/03 08:44,23.1,39,8.4,23.1
2023/01/03 09:44,23.1,40,8.8,23.1
2023/01/03 10:44,23.1,40,8.8,23.1
2023/01/03 11:44,23.0,40,8.7,23.0
2023/01/03 12:44,23.1,40,8.8,23.1
2023/01/03 13:44,23.1,40,8.8,23.1
2023/01/03 14:44,23.2,40,8.9,23.2
2023/01/03 15:44,23.2,39,8.5,23.2
2023/01/03 16:44,23.1,39,8.4,23.1
2023/01/03 17:44,23.1,39,8.4,23.1
2023/01/03 18:44,23.1,39,8.4,23.1
2023/01/03 19:44,23.1,39,8.4,23.1
2023/01/03 20:44,23.0,39,8.3,23.0
2023/01/03 21:44,22.9,39,8.2,22.9
2023/01/03 22:44,22.9,39,8.2,22.9
2023/01/03 23:44,22.9,39,8.2,22.9
2023/01/04 00:44,22.9,39,8.2,22.9
2023/01/04 01:44,22.7,39,8.1,22.7
2023/01/04 02:44,22.4,39,7.8,22.4
2023/01/04 03:44,22.0,38,7.1,22.0
2023/01/04 04:44,21.6,37,6.3,21.6
2023/01/04 05:44,21.4,36,5.7,21.4
2023/01/04 06:44,21.1,37,5.9,21.1
2023/01/04 07:44,20.8,36,5.2,20.8
2023/01/04 09:37,19.7,37,4.6,19.7
2023/01/04 10:39,20.0,38,5.3,20.0
2023/01/04 11:39,20.7,39,6.3,20.7
2023/01/04 12:39,21.2,39,6.7,21.2
2023/01/04 13:39,21.7,38,6.8,21.7
2023/01/04 14:39,22.1,38,7.1,22.1
2023/01/04 15:39,22.5,37,7.1,22.5
2023/01/04 16:39,22.8,37,7.4,22.8
2023/01/04 17:39,22.9,37,7.5,22.9
2023/01/04 18:39,23.0,37,7.6,23.0
2023/01/04 19:39,23.2,36,7.3,23.2
2023/01/04 20:39,23.3,36,7.4,23.3
2023/01/04 21:39,23.3,36,7.4,23.3
2023/01/04 22:39,23.4,36,7.5,23.4
2023/01/04 23:39,23.4,36,7.5,23.4
2023/01/05 00:39,23.4,36,7.5,23.4
2023/01/05 01:39,23.4,36,7.5,23.4
2023/01/05 02:39,23.4,37,7.9,23.4
2023/01/05 03:39,23.4,37,7.9,23.4
2023/01/05 04:39,23.3,38,8.2,23.3
2023/01/05 05:39,23.4,38,8.3,23.4
2023/01/05 06:39,23.3,38,8.2,23.3
2023/01/05 07:39,23.3,39,8.6,23.3
2023/01/05 08:39,23.3,39,8.6,23.3
2023/01/05 09:39,23.3,39,8.6,23.3
2023/01/05 10:39,23.5,39,8.8,23.5
2023/01/05 11:39,23.7,39,9.0,23.7
2023/01/05 12:39,24.0,39,9.2,24.0
2023/01/05 13:39,24.4,39,9.6,24.4
2023/01/05 14:39,24.8,39,9.9,24.8
2023/01/05 15:39,25.1,38,9.8,25.1
2023/01/05 16:39,25.3,38,10.0,25.3
2023/01/05 17:39,25.1,38,9.8,25.1
2023/01/05 18:39,24.8,38,9.6,24.8
2023/01/05 19:39,24.6,37,9.0,24.6
2023/01/05 20:39,24.3,37,8.7,24.3
2023/01/05 21:39,23.9,36,8.0,23.9
2023/01/05 22:39,23.5,36,7.6,23.5
2023/01/05 23:39,23.2,35,6.9,23.2
2023/01/06 00:39,23.1,36,7.2,23.1
2023/01/06 01:39,23.0,37,7.6,23.0
2023/01/06 02:39,23.0,37,7.6,23.0
2023/01/06 03:39,22.9,38,7.9,22.9
2023/01/06 04:39,22.9,38,7.9,22.9
2023/01/06 05:39,22.9,38,7.9,22.9
2023/01/06 06:39,23.0,38,7.9,23.0
2023/01/06 07:39,23.0,38,7.9,23.0
2023/01/06 08:39,22.9,39,8.2,22.9
2023/01/06 09:39,22.6,39,8.0,22.6
2023/01/06 10:39,22.9,38,7.9,22.9
2023/01/06 11:39,23.1,38,8.0,23.1
2023/01/06 12:39,23.2,38,8.1,23.2
2023/01/06 13:39,23.4,38,8.3,23.4
2023/01/06 14:39,23.5,37,8.0,23.5
2023/01/06 15:39,23.6,36,7.7,23.6
2023/01/06 16:39,23.5,36,7.6,23.5
2023/01/06 17:39,23.5,36,7.6,23.5
2023/01/06 18:39,23.4,35,7.1,23.4
2023/01/06 19:39,23.5,35,7.2,23.5
2023/01/06 20:39,23.4,35,7.1,23.4
2023/01/06 21:39,23.4,35,7.1,23.4
2023/01/06 22:39,23.3,35,7.0,23.3
2023/01/06 23:39,23.4,35,7.1,23.4
2023/01/07 00:39,23.3,35,7.0,23.3
2023/01/07 01:39,23.3,35,7.0,23.3
2023/01/07 02:39,23.2,36,7.3,23.2
2023/01/07 03:39,23.2,36,7.3,23.2
2023/01/07 04:39,23.2,36,7.3,23.2
