Time,Temperature(C),Humidity(%),Dewpoint(C),HeatIndex(C)
2023/01/01 00:44,22.7,43,9.5,22.7
2023/01/01 01:44,22.7,43,9.5,22.7
2023/01/01 02:44,22.6,43,9.4,22.6
2023/01/01 03:44,22.5,43,9.3,22.5
2023/01/01 04:44,22.6,43,9.4,22.6
2023/01/01 05:44,22.5,43,9.3,22.5
2023/01/01 06:44,22.5,42,9.0,22.5
2023/01/01 07:44,22.5,42,9.0,22.5
2023/01/01 08:44,22.4,42,8.9,22.4
2023/01/01 09:44,22.5,41,8.6,22.5
2023/01/01 10:44,22.7,41,8.8,22.7
2023/01/01 11:44,23.0,41,9.1,23.0
2023/01/01 12:44,23.2,41,9.2,23.2
2023/01/01 13:44,23.4,40,9.1,23.4
2023/01/01 14:44,23.5,40,9.2,23.5
2023/01/01 15:44,23.7,40,9.3,23.7
2023/01/01 16:44,23.6,40,9.2,23.6
2023/01/01 17:44,23.5,41,9.5,23.5
2023/01/01 18:44,23.5,41,9.5,23.5
2023/01/01 19:44,23.4,41,9.4,23.4
2023/01/01 20:44,23.3,41,9.3,23.3
2023/01/01 21:44,23.3,40,9.0,23.3
2023/01/01 22:44,23.3,39,8.6,23.3
2023/01/01 23:44,23.3,39,8.6,23.3
2023/01/02 00:44,23.3,38,8.2,23.3
2023/01/02 01:44,23.2,37,7.7,23.2
2023/01/02 02:44,23.2,36,7.3,23.2
2023/01/02 03:44,23.1,36,7.2,23.1
2023/01/02 04:44,23.1,35,6.8,23.1
2023/01/02 05:44,23.1,34,6.4,23.1
2023/01/02 06:44,23.1,33,6.0,23.1
2023/01/02 07:44,23.1,33,6.0,23.1
2023/01/02 08:44,23.0,33,5.9,23.0
2023/01/02 09:44,23.1,33,6.0,23.1
2023/01/02 10:44,23.2,33,6.1,23.2
2023/01/02 11:44,23.4,33,6.2,23.4
2023/01/02 12:44,23.4,32,5.8,23.4
2023/01/02 13:44,23.5,33,6.3,23.5
2023/01/02 14:44,23.5,33,6.3,23.5
2023/01/02 15:44,23.5,33,6.3,23.5
2023/01/02 16:44,23.4,33,6.2,23.4
2023/01/02 17:44,23.3,35,7.0,23.3
2023/01/02 18:44,23.3,36,7.4,23.3
2023/01/02 19:44,23.2,37,7.7,23.2
2023/01/02 20:44,23.2,38,8.1,23.2
2023/01/02 21:44,23.1,39,8.4,23.1
2023/01/02 22:44,23.1,40,8.8,23.1
2023/01/02 23:44,23.0,40,8.7,23.0
2023/01/03 00:44,23.0,41,9.1,23.0
2023/01/03 01:44,22.9,41,9.0,22.9
2023/01/03 02:44,22.9,41,9.0,22.9
2023/01/03 03:44,22.8,42,9.2,22.8
2023/01/03 04:44,22.7,41,8.8,22.7
2023/01/03 05:44,22.6,41,8.7,22.6
2023/01/03 06:44,22.5,41,8.6,22.5
2023/01/03 07:44,22.5,41,8.6,22.5
2023/01/03 08:44,22.4,41,8.5,22.4
2023/01/03 09:44,22.3,42,8.8,22.3
2023/01/03 10:44,22.3,42,8.8,22.3
2023/01/03 11:44,22.2,42,8.7,22.2
2023/01/03 12:44,22.3,42,8.8,22.3
2023/01/03 13:44,22.3,42,8.8,22.3
2023/01/03 14:44,22.3,42,8.8,22.3
2023/01/03 15:44,22.3,42,8.8,22.3
2023/01/03 16:44,22.2,41,8.4,22.2
2023/01/03 17:44,22.2,41,8.4,22.2
2023/01/03 18:44,22.2,42,8.7,22.2
2023/01/03 19:44,22.1,41,8.3,22.1
2023/01/03 20:44,22.1,42,8.6,22.1
2023/01/03 21:44,22.0,42,8.5,22.0
2023/01/03 22:44,22.0,42,8.5,22.0
2023/01/03 23:44,22.0,42,8.5,22.0
2023/01/04 00:44,21.9,42,8.4,21.9
2023/01/04 01:44,21.8,42,8.3,21.8
2023/01/04 02:44,21.6,41,7.8,21.6
2023/01/04 03:44,21.4,40,7.3,21.4
2023/01/04 04:44,21.2,39,6.7,21.2
2023/01/04 05:44,21.0,38,6.2,21.0
2023/01/04 06:44,20.8,38,6.0,20.8
2023/01/04 07:44,20.6,37,5.4,20.6
2023/01/04 09:37,20.1,37,5.0,20.1
2023/01/04 10:39,20.2,38,5.5,20.2
2023/01/04 11:39,20.5,40,6.5,20.5
2023/01/04 12:39,20.7,41,7.0,20.7
2023/01/04 13:39,20.9,41,7.2,20.9
2023/01/04 14:39,21.0,41,7.3,21.0
2023/01/04 15:39,21.2,41,7.5,21.2
2023/01/04 16:39,21.3,41,7.5,21.3
2023/01/04 17:39,21.3,41,7.5,21.3
2023/01/04 18:39,21.4,41,7.6,21.4
2023/01/04 19:39,21.5,41,7.7,21.5
2023/01/04 20:39,21.6,41,7.8,21.6
2023/01/04 21:39,21.6,41,7.8,21.6
2023/01/04 22:39,21.7,40,7.5,21.7
2023/01/04 23:39,21.7,41,7.9,21.7
2023/01/05 00:39,21.7,41,7.9,21.7
2023/01/05 01:39,21.7,41,7.9,21.7
2023/01/05 02:39,21.8,41,8.0,21.8
2023/01/05 03:39,21.7,41,7.9,21.7
2023/01/05 04:39,21.7,42,8.3,21.7
2023/01/05 05:39,21.8,42,8.3,21.8
2023/01/05 06:39,21.8,42,8.3,21.8
2023/01/05 07:39,21.8,42,8.3,21.8
2023/01/05 08:39,21.8,43,8.7,21.8
2023/01/05 09:39,21.8,43,8.7,21.8
2023/01/05 10:39,21.9,43,8.8,21.9
2023/01/05 11:39,22.0,43,8.9,22.0
2023/01/05 12:39,22.2,43,9.1,22.2
2023/01/05 13:39,22.4,43,9.2,22.4
2023/01/05 14:39,22.6,43,9.4,22.6
2023/01/05 15:39,22.8,43,9.6,22.8
2023/01/05 16:39,22.9,43,9.7,22.9
2023/01/05 17:39,22.8,43,9.6,22.8
2023/01/05 18:39,22.7,42,9.2,22.7
2023/01/05 19:39,22.6,42,9.1,22.6
2023/01/05 20:39,22.5,42,9.0,22.5
2023/01/05 21:39,22.3,40,8.1,22.3
2023/01/05 22:39,22.1,40,7.9,22.1
2023/01/05 23:39,21.9,39,7.3,21.9
2023/01/06 00:39,21.9,40,7.7,21.9
2023/01/06 01:39,21.9,41,8.1,21.9
2023/01/06 02:39,21.8,41,8.0,21.8
2023/01/06 03:39,21.8,41,8.0,21.8
2023/01/06 04:39,21.7,41,7.9,21.7
2023/01/06 05:39,21.7,42,8.3,21.7
2023/01/06 06:39,21.7,42,8.3,21.7
2023/01/06 07:39,21.7,42,8.3,21.7
2023/01/06 08:39,21.7,42,8.3,21.7
2023/01/06 09:39,21.2,42,7.8,21.2
2023/01/06 10:39,21.6,41,7.8,21.6
2023/01/06 11:39,21.6,42,8.2,21.6
2023/01/06 12:39,21.7,42,8.3,21.7
2023/01/06 13:39,21.8,42,8.3,21.8
2023/01/06 14:39,21.8,41,8.0,21.8
